node0 node91 node93 node95 node93 node91 node0 node7 node14 node21 node28 node35 node42 node49 node56 node63 node70 node77 node84 node86 node88 node86 node84 node77 node79 node81 node79 node77 node70 node72 node74 node72 node70 node63 node65 node67 node65 node63 node56 node58 node60 node58 node56 node49 node51 node53 node51 node49 node42 node44 node46 node44 node42 node35 node37 node39 node37 node35 node28 node30 node32 node30 node28 node21 node23 node25 node23 node21 node14 node16 node18 node16 node14 node7 node9 node11 node9 node7 node0 node2 node4 node2 node0
14
node95 node94 node96 node97
node88 node87 node89 node90
node81 node80 node82 node83
node74 node73 node75 node76
node67 node66 node68 node69
node60 node59 node61 node62
node53 node52 node54 node55
node46 node45 node47 node48
node39 node38 node40 node41
node32 node31 node33 node34
node25 node24 node26 node27
node18 node17 node19 node20
node11 node10 node12 node13
node4 node3 node5 node6
